task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate,mask_prob_low,mask_prob_high
130,False,0.7654321193695068,20,5,10,128,0.002,0.0,0.75
131,False,0.22448979318141937,20,5,10,128,0.002,0.0,0.75
132,False,0.6649999618530273,20,5,10,128,0.002,0.0,0.75
133,False,0.8624999523162842,20,5,10,128,0.002,0.0,0.75
134,False,0.9102564454078674,20,5,10,128,0.002,0.0,0.75
135,False,0.699999988079071,20,5,10,128,0.002,0.0,0.75
136,False,0.8641975522041321,20,5,10,128,0.002,0.0,0.75
137,False,0.6666666865348816,20,5,10,128,0.002,0.0,0.75
138,False,0.1875,20,5,10,128,0.002,0.0,0.75
139,False,0.484375,20,5,10,128,0.002,0.0,0.75
140,False,0.9377778172492981,20,5,10,128,0.002,0.0,0.75
141,False,0.1111111119389534,20,5,10,128,0.002,0.0,0.75
142,False,0.8235294222831726,20,5,10,128,0.002,0.0,0.75
143,False,0.5774999856948853,20,5,10,128,0.002,0.0,0.75
144,False,0.5411764979362488,20,5,10,128,0.002,0.0,0.75
145,False,0.9171597957611084,20,5,10,128,0.002,0.0,0.75
146,False,0.8700000047683716,20,5,10,128,0.002,0.0,0.75
147,False,0.9452663064002991,20,5,10,128,0.002,0.0,0.75
148,False,0.7599999904632568,20,5,10,128,0.002,0.0,0.75
149,False,0.7111111283302307,20,5,10,128,0.002,0.0,0.75
150,False,0.7999999523162842,20,5,10,128,0.002,0.0,0.75
151,False,0.8258928656578064,20,5,10,128,0.002,0.0,0.75
152,False,0.861344575881958,20,5,10,128,0.002,0.0,0.75
153,False,0.9895833134651184,20,5,10,128,0.002,0.0,0.75
154,False,0.7009804248809814,20,5,10,128,0.002,0.0,0.75
155,False,0.5999999642372131,20,5,10,128,0.002,0.0,0.75
156,False,0.8911564946174622,20,5,10,128,0.002,0.0,0.75
157,False,0.7658730745315552,20,5,10,128,0.002,0.0,0.75
158,False,0.7142857313156128,20,5,10,128,0.002,0.0,0.75
159,False,0.9599999785423279,20,5,10,128,0.002,0.0,0.75
160,False,0.8642659187316895,20,5,10,128,0.002,0.0,0.75
161,False,0.8711111545562744,20,5,10,128,0.002,0.0,0.75
162,False,0.7800000309944153,20,5,10,128,0.002,0.0,0.75
163,False,0.742222249507904,20,5,10,128,0.002,0.0,0.75
164,False,0.6599999666213989,20,5,10,128,0.002,0.0,0.75
165,False,0.8499999642372131,20,5,10,128,0.002,0.0,0.75
166,False,0.8199999928474426,20,5,10,128,0.002,0.0,0.75
167,False,0.875,20,5,10,128,0.002,0.0,0.75
168,False,0.6899999976158142,20,5,10,128,0.002,0.0,0.75
169,False,0.7511111497879028,20,5,10,128,0.002,0.0,0.75
170,False,0.719298243522644,20,5,10,128,0.002,0.0,0.75
171,False,0.6100000143051147,20,5,10,128,0.002,0.0,0.75
172,False,0.6326530575752258,20,5,10,128,0.002,0.0,0.75
