task,solved,final_pixel_accuracy,pop_size,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
132,False,0.6649999618530273,4,20,5,10,128,0.1,0,0.0,0.75
133,False,0.887499988079071,4,20,5,10,128,0.1,0,0.0,0.75
134,False,0.9166666865348816,4,20,5,10,128,0.1,0,0.0,0.75
135,False,0.7599999904632568,4,20,5,10,128,0.1,0,0.0,0.75
136,False,0.8888888955116272,4,20,5,10,128,0.1,0,0.0,0.75
137,False,0.6111111044883728,4,20,5,10,128,0.1,0,0.0,0.75
138,False,0.4375,4,20,5,10,128,0.1,0,0.0,0.75
139,False,0.4921875,4,20,5,10,128,0.1,0,0.0,0.75
140,False,0.9600000381469727,4,20,5,10,128,0.1,0,0.0,0.75
141,False,0.0,4,20,5,10,128,0.1,0,0.0,0.75
142,False,0.843137264251709,4,20,5,10,128,0.1,0,0.0,0.75
143,False,0.5649999976158142,4,20,5,10,128,0.1,0,0.0,0.75
144,False,0.5529412031173706,4,20,5,10,128,0.1,0,0.0,0.75
145,False,0.9053254723548889,4,20,5,10,128,0.1,0,0.0,0.75
146,False,0.8799999952316284,4,20,5,10,128,0.1,0,0.0,0.75
147,False,0.9467455744743347,4,20,5,10,128,0.1,0,0.0,0.75
148,False,0.7999999523162842,4,20,5,10,128,0.1,0,0.0,0.75
149,False,0.7866666913032532,4,20,5,10,128,0.1,0,0.0,0.75
150,False,0.7599999904632568,4,20,5,10,128,0.1,0,0.0,0.75
151,False,0.8035714626312256,4,20,5,10,128,0.1,0,0.0,0.75
152,False,0.9075630903244019,4,20,5,10,128,0.1,0,0.0,0.75
153,False,0.9479166865348816,4,20,5,10,128,0.1,0,0.0,0.75
154,False,0.7009804248809814,4,20,5,10,128,0.1,0,0.0,0.75
155,False,0.5799999833106995,4,20,5,10,128,0.1,0,0.0,0.75
156,False,0.9024943709373474,4,20,5,10,128,0.1,0,0.0,0.75
157,False,0.7936508655548096,4,20,5,10,128,0.1,0,0.0,0.75
158,False,0.7142857313156128,4,20,5,10,128,0.1,0,0.0,0.75
159,False,0.9699999690055847,4,20,5,10,128,0.1,0,0.0,0.75
160,False,0.8753462433815002,4,20,5,10,128,0.1,0,0.0,0.75
161,False,0.9111111164093018,4,20,5,10,128,0.1,0,0.0,0.75
162,False,0.7011111378669739,4,20,5,10,128,0.1,0,0.0,0.75
163,False,0.7822222709655762,4,20,5,10,128,0.1,0,0.0,0.75
164,False,0.6599999666213989,4,20,5,10,128,0.1,0,0.0,0.75
165,False,0.9174999594688416,4,20,5,10,128,0.1,0,0.0,0.75
166,False,0.8399999737739563,4,20,5,10,128,0.1,0,0.0,0.75
167,False,0.9375,4,20,5,10,128,0.1,0,0.0,0.75
168,False,0.7099999785423279,4,20,5,10,128,0.1,0,0.0,0.75
169,False,0.8177778124809265,4,20,5,10,128,0.1,0,0.0,0.75
170,False,0.7456140518188477,4,20,5,10,128,0.1,0,0.0,0.75
171,False,0.85999995470047,4,20,5,10,128,0.1,0,0.0,0.75
172,False,0.6785714030265808,4,20,5,10,128,0.1,0,0.0,0.75
