task,solved,final_pixel_accuracy,scored_with_avg,pop_size,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
138,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
139,False,0.17578125,False,4,20,5,10,128,0.1,0,0.0,0.75
140,False,0.9688889384269714,False,4,20,5,10,128,0.1,0,0.0,0.75
141,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
142,False,0.8300653696060181,False,4,20,5,10,128,0.1,0,0.0,0.75
143,False,0.2874999940395355,False,4,20,5,10,128,0.1,0,0.0,0.75
144,False,0.3176470696926117,False,4,20,5,10,128,0.1,0,0.0,0.75
145,False,0.7692307829856873,False,4,20,5,10,128,0.1,0,0.0,0.75
146,False,0.25999999046325684,False,4,20,5,10,128,0.1,0,0.0,0.75
147,False,0.39053255319595337,False,4,20,5,10,128,0.1,0,0.0,0.75
148,False,0.4599999785423279,False,4,20,5,10,128,0.1,0,0.0,0.75
149,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
150,False,0.8399999737739563,False,4,20,5,10,128,0.1,0,0.0,0.75
151,False,0.8035714626312256,False,4,20,5,10,128,0.1,0,0.0,0.75
152,False,0.7310924530029297,False,4,20,5,10,128,0.1,0,0.0,0.75
153,False,0.65625,False,4,20,5,10,128,0.1,0,0.0,0.75
154,False,0.6666666865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
155,False,0.5799999833106995,False,4,20,5,10,128,0.1,0,0.0,0.75
156,False,0.8684807419776917,False,4,20,5,10,128,0.1,0,0.0,0.75
157,False,0.7460317611694336,False,4,20,5,10,128,0.1,0,0.0,0.75
158,False,0.6785714626312256,False,4,20,5,10,128,0.1,0,0.0,0.75
159,False,0.8700000047683716,False,4,20,5,10,128,0.1,0,0.0,0.75
160,False,0.8559556603431702,False,4,20,5,10,128,0.1,0,0.0,0.75
161,False,0.8755555748939514,False,4,20,5,10,128,0.1,0,0.0,0.75
162,False,0.5222222208976746,False,4,20,5,10,128,0.1,0,0.0,0.75
163,False,0.2711111307144165,False,4,20,5,10,128,0.1,0,0.0,0.75
164,False,0.9099999666213989,False,4,20,5,10,128,0.1,0,0.0,0.75
165,False,0.7224999666213989,False,4,20,5,10,128,0.1,0,0.0,0.75
166,False,0.6699999570846558,False,4,20,5,10,128,0.1,0,0.0,0.75
167,False,0.6111111044883728,False,4,20,5,10,128,0.1,0,0.0,0.75
168,False,0.6499999761581421,False,4,20,5,10,128,0.1,0,0.0,0.75
169,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
170,False,0.6315789818763733,False,4,20,5,10,128,0.1,0,0.0,0.75
171,False,0.4699999988079071,False,4,20,5,10,128,0.1,0,0.0,0.75
172,False,0.27551019191741943,False,4,20,5,10,128,0.1,0,0.0,0.75
