task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
160,False,0.8614957928657532,20,5,10,128,0.1,0,0.0,0.75
161,False,0.9111111164093018,20,5,10,128,0.1,0,0.0,0.75
162,False,0.4844444692134857,20,5,10,128,0.1,0,0.0,0.75
163,False,0.2711111307144165,20,5,10,128,0.1,0,0.0,0.75
164,False,0.6399999856948853,20,5,10,128,0.1,0,0.0,0.75
165,False,0.7224999666213989,20,5,10,128,0.1,0,0.0,0.75
166,False,0.6699999570846558,20,5,10,128,0.1,0,0.0,0.75
167,False,0.6111111044883728,20,5,10,128,0.1,0,0.0,0.75
168,False,0.6800000071525574,20,5,10,128,0.1,0,0.0,0.75
169,False,0.2666666805744171,20,5,10,128,0.1,0,0.0,0.75
170,False,0.659649133682251,20,5,10,128,0.1,0,0.0,0.75
171,False,0.4399999976158142,20,5,10,128,0.1,0,0.0,0.75
172,False,0.44897958636283875,20,5,10,128,0.1,0,0.0,0.75
