task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
113,False,0.920604944229126,20,5,10,128,0.1,0,0.0,0.75
114,False,0.9300000071525574,20,5,10,128,0.1,0,0.0,0.75
115,False,0.4904305934906006,20,5,10,128,0.1,0,0.0,0.75
116,False,0.6666666865348816,20,5,10,128,0.1,0,0.0,0.75
117,False,0.23140494525432587,20,5,10,128,0.1,0,0.0,0.75
118,False,0.8799999952316284,20,5,10,128,0.1,0,0.0,0.75
119,False,0.46222221851348877,20,5,10,128,0.1,0,0.0,0.75
120,False,0.90625,20,5,10,128,0.1,0,0.0,0.75
121,False,0.3467492163181305,20,5,10,128,0.1,0,0.0,0.75
122,False,0.4375,20,5,10,128,0.1,0,0.0,0.75
123,False,0.6399999856948853,20,5,10,128,0.1,0,0.0,0.75
124,False,0.4296875,20,5,10,128,0.1,0,0.0,0.75
125,False,0.4761904776096344,20,5,10,128,0.1,0,0.0,0.75
126,False,0.80952388048172,20,5,10,128,0.1,0,0.0,0.75
127,False,0.8700000047683716,20,5,10,128,0.1,0,0.0,0.75
128,False,0.9548872113227844,20,5,10,128,0.1,0,0.0,0.75
129,False,0.918367326259613,20,5,10,128,0.1,0,0.0,0.75
130,False,0.8395061492919922,20,5,10,128,0.1,0,0.0,0.75
131,False,0.22448979318141937,20,5,10,128,0.1,0,0.0,0.75
132,False,0.6649999618530273,20,5,10,128,0.1,0,0.0,0.75
133,False,0.8824999928474426,20,5,10,128,0.1,0,0.0,0.75
134,False,0.9166666865348816,20,5,10,128,0.1,0,0.0,0.75
135,False,0.6399999856948853,20,5,10,128,0.1,0,0.0,0.75
136,False,0.8888888955116272,20,5,10,128,0.1,0,0.0,0.75
137,False,0.4444444477558136,20,5,10,128,0.1,0,0.0,0.75
138,False,0.125,20,5,10,128,0.1,0,0.0,0.75
139,False,0.453125,20,5,10,128,0.1,0,0.0,0.75
140,False,0.9644444584846497,20,5,10,128,0.1,0,0.0,0.75
141,False,0.0,20,5,10,128,0.1,0,0.0,0.75
142,False,0.843137264251709,20,5,10,128,0.1,0,0.0,0.75
143,False,0.29249998927116394,20,5,10,128,0.1,0,0.0,0.75
144,False,0.5529412031173706,20,5,10,128,0.1,0,0.0,0.75
145,False,0.9053254723548889,20,5,10,128,0.1,0,0.0,0.75
146,False,0.3199999928474426,20,5,10,128,0.1,0,0.0,0.75
147,False,0.9408284425735474,20,5,10,128,0.1,0,0.0,0.75
148,False,0.7999999523162842,20,5,10,128,0.1,0,0.0,0.75
149,False,0.7866666913032532,20,5,10,128,0.1,0,0.0,0.75
150,False,0.7599999904632568,20,5,10,128,0.1,0,0.0,0.75
151,False,0.8750000596046448,20,5,10,128,0.1,0,0.0,0.75
152,False,0.9075630903244019,20,5,10,128,0.1,0,0.0,0.75
153,False,0.65625,20,5,10,128,0.1,0,0.0,0.75
154,False,0.7009804248809814,20,5,10,128,0.1,0,0.0,0.75
155,False,0.699999988079071,20,5,10,128,0.1,0,0.0,0.75
156,False,0.8956916332244873,20,5,10,128,0.1,0,0.0,0.75
157,False,0.7936508655548096,20,5,10,128,0.1,0,0.0,0.75
158,False,0.7321428656578064,20,5,10,128,0.1,0,0.0,0.75
159,False,0.9699999690055847,20,5,10,128,0.1,0,0.0,0.75
160,False,0.8698060512542725,20,5,10,128,0.1,0,0.0,0.75
161,False,0.9111111164093018,20,5,10,128,0.1,0,0.0,0.75
162,False,0.601111114025116,20,5,10,128,0.1,0,0.0,0.75
163,False,0.7777777910232544,20,5,10,128,0.1,0,0.0,0.75
164,False,0.6699999570846558,20,5,10,128,0.1,0,0.0,0.75
165,False,0.7224999666213989,20,5,10,128,0.1,0,0.0,0.75
166,False,0.6699999570846558,20,5,10,128,0.1,0,0.0,0.75
167,False,0.6111111044883728,20,5,10,128,0.1,0,0.0,0.75
168,False,0.6800000071525574,20,5,10,128,0.1,0,0.0,0.75
169,False,0.7333333492279053,20,5,10,128,0.1,0,0.0,0.75
170,False,0.738596498966217,20,5,10,128,0.1,0,0.0,0.75
171,False,0.4699999988079071,20,5,10,128,0.1,0,0.0,0.75
172,False,0.6785714030265808,20,5,10,128,0.1,0,0.0,0.75
