task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate,mask_prob_low,mask_prob_high
105,False,0.8994082808494568,20,5,10,128,0.002,0.0,0.75
106,False,0.6172839403152466,20,5,10,128,0.002,0.0,0.75
107,False,0.9300000071525574,20,5,10,128,0.002,0.0,0.75
108,False,0.8571428656578064,20,5,10,128,0.002,0.0,0.75
109,False,0.9166666865348816,20,5,10,128,0.002,0.0,0.75
110,False,0.9090908765792847,20,5,10,128,0.002,0.0,0.75
111,False,0.9408284425735474,20,5,10,128,0.002,0.0,0.75
112,False,0.2800000011920929,20,5,10,128,0.002,0.0,0.75
113,False,0.8199999928474426,20,5,10,128,0.002,0.0,0.75
114,False,0.8352273106575012,20,5,10,128,0.002,0.0,0.75
115,False,0.6913580298423767,20,5,10,128,0.002,0.0,0.75
116,False,0.8030303120613098,20,5,10,128,0.002,0.0,0.75
117,False,0.7986111044883728,20,5,10,128,0.002,0.0,0.75
118,False,0.690000057220459,20,5,10,128,0.002,0.0,0.75
119,False,0.8799999952316284,20,5,10,128,0.002,0.0,0.75
120,False,0.6312399506568909,20,5,10,128,0.002,0.0,0.75
121,False,0.44387754797935486,20,5,10,128,0.002,0.0,0.75
122,False,0.7400000095367432,20,5,10,128,0.002,0.0,0.75
123,False,0.78125,20,5,10,128,0.002,0.0,0.75
124,False,0.8133333325386047,20,5,10,128,0.002,0.0,0.75
125,False,0.6938775181770325,20,5,10,128,0.002,0.0,0.75
126,False,0.7777777910232544,20,5,10,128,0.002,0.0,0.75
127,False,0.6315789222717285,20,5,10,128,0.002,0.0,0.75
128,False,0.9765625,20,5,10,128,0.002,0.0,0.75
129,False,0.5722222328186035,20,5,10,128,0.002,0.0,0.75
130,False,0.0,20,5,10,128,0.002,0.0,0.75
131,False,0.8671875,20,5,10,128,0.002,0.0,0.75
132,False,0.7562326788902283,20,5,10,128,0.002,0.0,0.75
133,False,0.7346938848495483,20,5,10,128,0.002,0.0,0.75
134,False,0.9011111259460449,20,5,10,128,0.002,0.0,0.75
135,False,0.7299999594688416,20,5,10,128,0.002,0.0,0.75
136,False,0.7039999961853027,20,5,10,128,0.002,0.0,0.75
137,False,0.8284024000167847,20,5,10,128,0.002,0.0,0.75
138,False,0.7453703880310059,20,5,10,128,0.002,0.0,0.75
139,False,0.9259259104728699,20,5,10,128,0.002,0.0,0.75
140,False,0.6666666865348816,20,5,10,128,0.002,0.0,0.75
141,False,0.7916666865348816,20,5,10,128,0.002,0.0,0.75
142,False,0.8755555748939514,20,5,10,128,0.002,0.0,0.75
143,False,0.8636363744735718,20,5,10,128,0.002,0.0,0.75
144,False,0.9236111044883728,20,5,10,128,0.002,0.0,0.75
145,False,0.9111111164093018,20,5,10,128,0.002,0.0,0.75
146,False,0.8626374006271362,20,5,10,128,0.002,0.0,0.75
147,False,0.9425287246704102,20,5,10,128,0.002,0.0,0.75
148,False,0.90234375,20,5,10,128,0.002,0.0,0.75
149,False,0.7708333730697632,20,5,10,128,0.002,0.0,0.75
150,False,0.8740740418434143,20,5,10,128,0.002,0.0,0.75
151,False,0.8367346525192261,20,5,10,128,0.002,0.0,0.75
152,False,0.7699999809265137,20,5,10,128,0.002,0.0,0.75
