task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate,mask_prob_low,mask_prob_high
129,False,0.918367326259613,20,5,10,128,0.002,0.0,0.75
130,False,0.9259259104728699,20,5,10,128,0.002,0.0,0.75
131,False,0.10204081237316132,20,5,10,128,0.002,0.0,0.75
132,False,0.7849999666213989,20,5,10,128,0.002,0.0,0.75
133,False,0.8125,20,5,10,128,0.002,0.0,0.75
134,False,0.8717948794364929,20,5,10,128,0.002,0.0,0.75
135,False,0.9899999499320984,20,5,10,128,0.002,0.0,0.75
136,False,0.8888888955116272,20,5,10,128,0.002,0.0,0.75
137,False,0.8333333134651184,20,5,10,128,0.002,0.0,0.75
138,False,0.375,20,5,10,128,0.002,0.0,0.75
139,False,0.4921875,20,5,10,128,0.002,0.0,0.75
140,False,0.9688889384269714,20,5,10,128,0.002,0.0,0.75
141,False,0.3333333432674408,20,5,10,128,0.002,0.0,0.75
142,False,0.8300653696060181,20,5,10,128,0.002,0.0,0.75
143,False,0.5799999833106995,20,5,10,128,0.002,0.0,0.75
144,False,0.7882353663444519,20,5,10,128,0.002,0.0,0.75
145,False,0.9822485446929932,20,5,10,128,0.002,0.0,0.75
146,False,0.8199999928474426,20,5,10,128,0.002,0.0,0.75
147,False,0.9053254723548889,20,5,10,128,0.002,0.0,0.75
148,False,0.9099999666213989,20,5,10,128,0.002,0.0,0.75
149,False,0.7866666913032532,20,5,10,128,0.002,0.0,0.75
150,True,1.0,20,5,10,128,0.002,0.0,0.75
151,False,0.8571429252624512,20,5,10,128,0.002,0.0,0.75
152,False,0.8361344933509827,20,5,10,128,0.002,0.0,0.75
153,False,0.9791666865348816,20,5,10,128,0.002,0.0,0.75
154,False,0.6323529481887817,20,5,10,128,0.002,0.0,0.75
155,False,0.9899999499320984,20,5,10,128,0.002,0.0,0.75
156,False,0.8684807419776917,20,5,10,128,0.002,0.0,0.75
157,False,0.9087302088737488,20,5,10,128,0.002,0.0,0.75
158,False,0.660714328289032,20,5,10,128,0.002,0.0,0.75
159,False,0.8499999642372131,20,5,10,128,0.002,0.0,0.75
160,False,0.8559556603431702,20,5,10,128,0.002,0.0,0.75
161,False,0.9555555582046509,20,5,10,128,0.002,0.0,0.75
162,False,0.551111102104187,20,5,10,128,0.002,0.0,0.75
163,False,0.746666669845581,20,5,10,128,0.002,0.0,0.75
164,False,0.9099999666213989,20,5,10,128,0.002,0.0,0.75
165,False,0.9574999809265137,20,5,10,128,0.002,0.0,0.75
166,False,0.9599999785423279,20,5,10,128,0.002,0.0,0.75
167,False,0.9305555820465088,20,5,10,128,0.002,0.0,0.75
168,False,0.75,20,5,10,128,0.002,0.0,0.75
169,False,0.4844444692134857,20,5,10,128,0.002,0.0,0.75
170,False,0.6298245787620544,20,5,10,128,0.002,0.0,0.75
171,False,0.8199999928474426,20,5,10,128,0.002,0.0,0.75
172,False,0.6989795565605164,20,5,10,128,0.002,0.0,0.75
